       step,          time,       molecule,  site,   Z,  type,       mass,         charge,          x,             y,             z,             fx,            fy,            fz,            vx,            vy,            vz
              1,  0.499000E-02,       1,       1,    6, CC321 ,  0.120107E+02,  0.000000E+00,  0.747544E+01,  0.749714E+01,  0.760212E+01, -0.536039E+02,  0.793356E+01,  0.578575E+01, -0.117656E+02, -0.502408E+00,  0.885640E+00
              1,  0.499000E-02,       1,       2,    6, CC321 ,  0.120107E+02,  0.000000E+00,  0.887088E+01,  0.750286E+01,  0.760212E+01,  0.536039E+02, -0.793356E+01,  0.578575E+01,  0.117656E+02,  0.502408E+00,  0.885640E+00
              1,  0.499000E-02,       1,       3,    1, HCA2  ,  0.100790E+01,  0.000000E+00,  0.693759E+01,  0.655694E+01,  0.738724E+01, -0.568625E+01, -0.937556E+00, -0.314752E+01, -0.101413E+02, -0.404901E+00, -0.545500E+01
              1,  0.499000E-02,       1,       4,    1, HCA2  ,  0.100790E+01,  0.000000E+00,  0.692369E+01,  0.847263E+01,  0.758753E+01, -0.696010E+00, -0.737593E+01, -0.263823E+01, -0.116217E+02,  0.481463E+01, -0.509878E+01
              1,  0.499000E-02,       1,       5,    1, HCA2  ,  0.100790E+01,  0.000000E+00,  0.940873E+01,  0.844306E+01,  0.738724E+01,  0.568625E+01,  0.937556E+00, -0.314752E+01,  0.101413E+02,  0.404901E+00, -0.545500E+01
              1,  0.499000E-02,       1,       6,    1, HCA2  ,  0.100790E+01,  0.000000E+00,  0.942263E+01,  0.652737E+01,  0.758753E+01,  0.696010E+00,  0.737593E+01, -0.263823E+01,  0.116217E+02, -0.481463E+01, -0.509878E+01
              2,  0.999000E-02,       1,       1,    6, CC321 ,  0.120107E+02,  0.000000E+00,  0.740190E+01,  0.749745E+01,  0.760912E+01,  0.113163E+02, -0.698462E+01,  0.601803E+01, -0.157116E+02,  0.129973E+00,  0.191896E+01
              2,  0.999000E-02,       1,       2,    6, CC321 ,  0.120107E+02,  0.000000E+00,  0.894442E+01,  0.750255E+01,  0.760912E+01, -0.113163E+02,  0.698462E+01,  0.601803E+01,  0.157116E+02, -0.129973E+00,  0.191896E+01
              2,  0.999000E-02,       1,       3,    1, HCA2  ,  0.100790E+01,  0.000000E+00,  0.686200E+01,  0.655795E+01,  0.734402E+01, -0.114917E+01,  0.468126E+01, -0.238862E+01, -0.184491E+02,  0.296755E+01, -0.115336E+02
              2,  0.999000E-02,       1,       4,    1, HCA2  ,  0.100790E+01,  0.000000E+00,  0.686175E+01,  0.845857E+01,  0.754730E+01, -0.459062E+01,  0.197933E+01, -0.362941E+01, -0.148455E+02, -0.664310E+01, -0.113338E+02
