  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
            1,  0.999900E-02,  0.210022E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210022E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210022E+02,  0.210022E+02,  0.210022E+02,  0.210022E+02
            2,  0.199990E-01,  0.210014E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210014E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210014E+02,  0.210014E+02,  0.210014E+02,  0.210014E+02
            3,  0.299990E-01,  0.210009E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210009E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210009E+02,  0.210009E+02,  0.210009E+02,  0.210009E+02
            4,  0.399990E-01,  0.210016E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210016E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210016E+02,  0.210016E+02,  0.210016E+02,  0.210016E+02
            5,  0.499990E-01,  0.210025E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210025E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210025E+02,  0.210025E+02,  0.210025E+02,  0.210025E+02
            6,  0.599990E-01,  0.210018E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210018E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210018E+02,  0.210018E+02,  0.210018E+02,  0.210018E+02
            7,  0.699990E-01,  0.210011E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210011E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210011E+02,  0.210011E+02,  0.210011E+02,  0.210011E+02
            8,  0.799990E-01,  0.210019E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210019E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210019E+02,  0.210019E+02,  0.210019E+02,  0.210019E+02
            9,  0.899990E-01,  0.210027E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210027E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210027E+02,  0.210027E+02,  0.210027E+02,  0.210027E+02
           10,  0.999990E-01,  0.210020E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210020E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210020E+02,  0.210020E+02,  0.210020E+02,  0.210020E+02
