     step,          time,         volume,      temperature,    pressure,      kinetic,       potential,      energy,       density
            1,  0.999900E-01,  0.926100E+04,  0.369633E+01,  0.180683E+01,  0.550659E-01,  0.103359E+00,  0.158424E+00,  0.503015E-02
            2,  0.199990E+00,  0.926100E+04,  0.895871E+01,  0.545277E+01,  0.133462E+00,  0.106462E+00,  0.239923E+00,  0.503015E-02
            3,  0.299990E+00,  0.926100E+04,  0.900536E+01, -0.410674E+01,  0.134157E+00,  0.876015E-01,  0.221758E+00,  0.503015E-02
            4,  0.399990E+00,  0.926100E+04,  0.412478E+01, -0.248097E+01,  0.614487E-01,  0.932008E-01,  0.154649E+00,  0.503015E-02
            5,  0.499990E+00,  0.926100E+04,  0.228902E+00,  0.513687E+01,  0.341006E-02,  0.111554E+00,  0.114964E+00,  0.503015E-02
            6,  0.599990E+00,  0.926100E+04,  0.123376E+01, -0.359952E+00,  0.183798E-01,  0.999694E-01,  0.118349E+00,  0.503015E-02
            7,  0.699990E+00,  0.926100E+04,  0.455154E+01, -0.435390E+01,  0.678063E-01,  0.882671E-01,  0.156073E+00,  0.503015E-02
            8,  0.799990E+00,  0.926100E+04,  0.572361E+01,  0.279212E+01,  0.852672E-01,  0.998490E-01,  0.185116E+00,  0.503015E-02
            9,  0.899990E+00,  0.926100E+04,  0.337373E+01,  0.276216E+01,  0.502600E-01,  0.103715E+00,  0.153975E+00,  0.503015E-02
           10,  0.999990E+00,  0.926100E+04,  0.547548E+00, -0.377896E+01,  0.815707E-02,  0.930729E-01,  0.101230E+00,  0.503015E-02
