   step,          time,          ax,          ay,          az,          bx,          by,          bz,          cx,          cy,          cz,           a,           b,           c
            1,  0.1000E-02,  0.2052E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2052E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2052E+02,  0.2052E+02,  0.2052E+02,  0.2052E+02
            2,  0.2000E-02,  0.2053E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2053E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2053E+02,  0.2053E+02,  0.2053E+02,  0.2053E+02
            3,  0.3000E-02,  0.2054E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2054E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2054E+02,  0.2054E+02,  0.2054E+02,  0.2054E+02
            4,  0.4000E-02,  0.2055E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2055E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2055E+02,  0.2055E+02,  0.2055E+02,  0.2055E+02
            5,  0.5000E-02,  0.2056E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2056E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2056E+02,  0.2056E+02,  0.2056E+02,  0.2056E+02
            6,  0.6000E-02,  0.2055E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2055E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2055E+02,  0.2055E+02,  0.2055E+02,  0.2055E+02
            7,  0.7000E-02,  0.2055E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2055E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2055E+02,  0.2055E+02,  0.2055E+02,  0.2055E+02
            8,  0.8000E-02,  0.2054E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2054E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2054E+02,  0.2054E+02,  0.2054E+02,  0.2054E+02
            9,  0.9000E-02,  0.2052E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2052E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2052E+02,  0.2052E+02,  0.2052E+02,  0.2052E+02
           10,  0.1000E-01,  0.2050E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2050E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.2050E+02,  0.2050E+02,  0.2050E+02,  0.2050E+02
