       step,          time,       molecule,  site,   Z,  type,       mass,         charge,          x,             y,             z,             fx,            fy,            fz,            vx,            vy,            vz
              1,  0.900000E-02,       1,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.648951E+00, -0.431539E+00, -0.188255E+01,  0.172290E+02, -0.220360E+02,  0.162205E+02,  0.110220E+01,  0.388220E+01,  0.628723E+01
              1,  0.900000E-02,       1,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.117021E+01, -0.569683E+00, -0.103406E+01, -0.544211E+01,  0.639296E+01, -0.178930E+02, -0.340884E+01, -0.269828E+01, -0.105851E+02
              1,  0.900000E-02,       1,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.120441E+00,  0.341435E+00, -0.161228E+01, -0.655556E+01,  0.975041E+01,  0.390867E+00,  0.184016E+01, -0.569183E+01,  0.140497E+02
              1,  0.900000E-02,       2,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.621053E+01,  0.248729E+01, -0.331448E+01, -0.213299E+00,  0.957843E+01,  0.123644E+02,  0.380390E+01,  0.991300E+01,  0.599279E+01
              1,  0.900000E-02,       2,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.684907E+01,  0.197503E+01, -0.278610E+01, -0.122767E+01, -0.132957E+01,  0.139378E+02,  0.773209E+01,  0.319617E+00, -0.127099E+01
              1,  0.900000E-02,       2,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.649104E+01,  0.213653E+01, -0.415656E+01, -0.316164E+01, -0.782505E+01, -0.227644E+02, -0.281557E+01, -0.545720E+01, -0.171273E+01
              1,  0.900000E-02,       3,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.641094E+01,  0.744269E+01,  0.402711E+01,  0.295720E+01, -0.302785E+01, -0.114919E+02,  0.101108E+02,  0.573967E+01,  0.671751E+01
              1,  0.900000E-02,       3,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.655390E+01,  0.804651E+01,  0.325228E+01, -0.579650E+00, -0.361669E+01,  0.925071E+01, -0.552292E+01,  0.219927E+02, -0.285263E+01
              1,  0.900000E-02,       3,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.544748E+01,  0.754937E+01,  0.417377E+01, -0.688314E+00,  0.298027E+01,  0.190875E+01,  0.205944E+01, -0.435333E+01,  0.170235E+02
              1,  0.900000E-02,       4,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.456409E+01,  0.380525E+01,  0.796700E+01, -0.622425E+01, -0.919962E+00,  0.123098E+02,  0.172648E+01,  0.227631E+01,  0.288356E+01
              1,  0.900000E-02,       4,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.521631E+01,  0.379684E+01,  0.872018E+01,  0.698130E+01, -0.239199E+01, -0.104499E+02,  0.897737E+01, -0.359518E+01,  0.280101E+02
              1,  0.900000E-02,       4,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.399997E+01,  0.303276E+01,  0.819374E+01, -0.204552E+01,  0.642142E+01, -0.259746E+00,  0.163293E+02,  0.100552E+02, -0.112168E+02
              1,  0.900000E-02,       5,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.773637E+01,  0.877078E+01,  0.733191E+01, -0.155528E+02, -0.104002E+02,  0.506944E+01,  0.573910E+01,  0.711349E+01,  0.666224E+01
              1,  0.900000E-02,       5,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.805693E+01,  0.953109E+01,  0.685038E+01,  0.105348E+02,  0.181291E+02, -0.922276E+01, -0.217992E+01,  0.988799E+01, -0.197524E+02
              1,  0.900000E-02,       5,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.678643E+01,  0.902581E+01,  0.738396E+01, -0.161084E+01, -0.443598E+01,  0.206944E+01,  0.161084E+01, -0.258859E+00, -0.877080E+01
              1,  0.900000E-02,       6,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.141824E+01, -0.481107E+01,  0.293710E+01,  0.349597E+00, -0.163452E+02, -0.558784E+01,  0.423932E+01,  0.852798E+01,  0.905688E+01
              1,  0.900000E-02,       6,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.211522E+01, -0.414331E+01,  0.303923E+01,  0.862403E+01,  0.132319E+02,  0.571687E+01,  0.133188E+02, -0.178760E+01,  0.811491E+01
              1,  0.900000E-02,       6,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.196162E+01, -0.547165E+01,  0.243690E+01, -0.830210E+01,  0.159885E+01,  0.282358E+01,  0.275637E+01,  0.690391E+01,  0.156483E+02
              1,  0.900000E-02,       7,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.289957E+00,  0.648022E+01,  0.329297E+01,  0.679969E+00,  0.518318E+01, -0.388806E+01,  0.558273E+01,  0.446809E+01,  0.390979E+01
              1,  0.900000E-02,       7,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.108148E+01,  0.670779E+01,  0.273423E+01,  0.479483E+01, -0.156288E+01,  0.945513E+01,  0.137470E+02,  0.692957E+01, -0.106898E+02
              1,  0.900000E-02,       7,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.498009E+00,  0.698724E+01,  0.410594E+01, -0.168241E+01,  0.256460E+01,  0.770556E+00, -0.798521E+01,  0.196977E+02, -0.625036E+01
              1,  0.900000E-02,       8,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00,  0.289601E+00,  0.451609E+01, -0.904463E+01, -0.456447E+01, -0.927571E+01,  0.682234E+01,  0.599543E+01,  0.546889E+01,  0.588269E+01
              1,  0.900000E-02,       8,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.387518E+00,  0.548401E+01, -0.898732E+01,  0.144968E+01,  0.723771E+01,  0.320291E+00,  0.100607E+02,  0.147899E+02,  0.344491E+01
              1,  0.900000E-02,       8,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00,  0.758623E+00,  0.430106E+01, -0.987780E+01,  0.166036E+01,  0.138253E+01, -0.445758E+01, -0.105400E+02,  0.410729E+01, -0.122001E+01
              1,  0.900000E-02,       9,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.663467E+01, -0.100482E+02,  0.583362E+01, -0.184960E+02,  0.399920E+01, -0.160590E+02,  0.259409E+01,  0.972160E+01,  0.478119E+01
              1,  0.900000E-02,       9,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.681372E+01, -0.916848E+01,  0.621725E+01,  0.445231E+01,  0.256607E+01,  0.200317E+01,  0.440961E+01,  0.310829E+01,  0.152758E+02
              1,  0.900000E-02,       9,       3,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.589694E+01, -0.103600E+02,  0.636325E+01,  0.189669E+02, -0.341054E+01,  0.113294E+02, -0.198322E+01, -0.497417E+01,  0.215757E+00
              1,  0.900000E-02,      10,       1,    8, OCTIP3,  0.159994E+02, -0.834000E+00, -0.597296E+01, -0.214799E+01,  0.103159E+02,  0.711235E+01, -0.108458E+02,  0.581433E+01,  0.646779E+01,  0.311576E+01,  0.296361E+01
              1,  0.900000E-02,      10,       2,    1, HCTIP3,  0.100790E+01,  0.417000E+00, -0.588429E+01, -0.140949E+01, -0.100743E+02, -0.384702E+01,  0.231957E+01,  0.179635E+01,  0.662951E+01, -0.110887E+02, -0.645842E+00
