  step,            time,            ax,            ay,            az,            bx,            by,            bz,            cx,            cy,            cz,             a,             b,             c
            1,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            2,  0.100000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            3,  0.200000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            4,  0.300000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            5,  0.400000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            6,  0.500000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            7,  0.600000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            8,  0.700000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
            9,  0.800000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
           10,  0.900000E-05,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.000000E+00,  0.000000E+00,  0.000000E+00,  0.210326E+02,  0.210326E+02,  0.210326E+02,  0.210326E+02
