     step,          time,         volume,      temperature,    pressure,      kinetic,       potential,      energy,       density
            1,  0.400000E-02,  0.843825E+04,  0.132351E+03, -0.515975E+04,  0.365158E+03, -0.339987E+04, -0.303471E+04,  0.109548E+01
            2,  0.900000E-02,  0.843939E+04,  0.126484E+03,  0.735378E+04,  0.348971E+03, -0.338107E+04, -0.303210E+04,  0.109533E+01
            3,  0.140000E-01,  0.844280E+04,  0.160167E+03, -0.704018E+04,  0.441902E+03, -0.347554E+04, -0.303363E+04,  0.109489E+01
            4,  0.190000E-01,  0.844472E+04,  0.128914E+03,  0.636842E+04,  0.355674E+03, -0.338649E+04, -0.303081E+04,  0.109464E+01
            5,  0.240000E-01,  0.844838E+04,  0.147928E+03, -0.771795E+04,  0.408136E+03, -0.344018E+04, -0.303205E+04,  0.109417E+01
            6,  0.290000E-01,  0.845018E+04,  0.137630E+03,  0.549769E+04,  0.379723E+03, -0.340979E+04, -0.303007E+04,  0.109393E+01
            7,  0.340000E-01,  0.845318E+04,  0.158389E+03, -0.937335E+04,  0.436995E+03, -0.346782E+04, -0.303083E+04,  0.109355E+01
            8,  0.390000E-01,  0.845367E+04,  0.142094E+03,  0.594125E+04,  0.392039E+03, -0.342152E+04, -0.302948E+04,  0.109348E+01
            9,  0.440000E-01,  0.845544E+04,  0.134534E+03, -0.893083E+04,  0.371181E+03, -0.340054E+04, -0.302936E+04,  0.109325E+01
           10,  0.490000E-01,  0.845507E+04,  0.131026E+03,  0.732138E+04,  0.361501E+03, -0.339031E+04, -0.302881E+04,  0.109330E+01
           11,  0.540000E-01,  0.845654E+04,  0.142513E+03, -0.951928E+04,  0.393193E+03, -0.342177E+04, -0.302857E+04,  0.109311E+01
           12,  0.590000E-01,  0.845574E+04,  0.156290E+03,  0.687690E+04,  0.431204E+03, -0.345992E+04, -0.302872E+04,  0.109321E+01
           13,  0.640000E-01,  0.845647E+04,  0.145954E+03, -0.951216E+04,  0.402689E+03, -0.343077E+04, -0.302808E+04,  0.109312E+01
           14,  0.690000E-01,  0.845491E+04,  0.140279E+03,  0.768112E+04,  0.387029E+03, -0.341512E+04, -0.302809E+04,  0.109332E+01
           15,  0.740000E-01,  0.845524E+04,  0.137197E+03, -0.899146E+04,  0.378528E+03, -0.340636E+04, -0.302783E+04,  0.109328E+01
           16,  0.790000E-01,  0.845350E+04,  0.148652E+03,  0.739072E+04,  0.410132E+03, -0.343814E+04, -0.302800E+04,  0.109350E+01
           17,  0.840000E-01,  0.845348E+04,  0.152429E+03, -0.928365E+04,  0.420553E+03, -0.344846E+04, -0.302791E+04,  0.109351E+01
           18,  0.890000E-01,  0.845118E+04,  0.148180E+03,  0.767415E+04,  0.408828E+03, -0.343637E+04, -0.302754E+04,  0.109380E+01
           19,  0.940000E-01,  0.845064E+04,  0.145771E+03, -0.900977E+04,  0.402183E+03, -0.342984E+04, -0.302765E+04,  0.109387E+01
           20,  0.990000E-01,  0.844788E+04,  0.149094E+03,  0.734227E+04,  0.411351E+03, -0.343850E+04, -0.302714E+04,  0.109423E+01
