   step,          time,        volume,    temperature,  pressure,     ekinet,    epotential,    energy,      density
            1,  0.1000E-02,  0.8625E+04,  0.7306E+03,  0.3794E+05,  0.2016E+04, -0.1851E+04,  0.1644E+03,  0.1072E+01
            2,  0.2000E-02,  0.8626E+04,  0.7555E+03,  0.4373E+05,  0.2084E+04, -0.1930E+04,  0.1549E+03,  0.1072E+01
            3,  0.3000E-02,  0.8628E+04,  0.6830E+03,  0.2685E+05,  0.1885E+04, -0.1701E+04,  0.1832E+03,  0.1071E+01
            4,  0.4000E-02,  0.8632E+04,  0.6323E+03, -0.2190E+04,  0.1745E+04, -0.1537E+04,  0.2078E+03,  0.1071E+01
            5,  0.5000E-02,  0.8636E+04,  0.6883E+03, -0.2800E+05,  0.1899E+04, -0.1705E+04,  0.1937E+03,  0.1070E+01
            6,  0.6000E-02,  0.8640E+04,  0.7606E+03, -0.4069E+05,  0.2099E+04, -0.1929E+04,  0.1696E+03,  0.1070E+01
            7,  0.7000E-02,  0.8642E+04,  0.7315E+03, -0.3713E+05,  0.2018E+04, -0.1839E+04,  0.1792E+03,  0.1070E+01
            8,  0.8000E-02,  0.8643E+04,  0.6489E+03, -0.1793E+05,  0.1790E+04, -0.1583E+04,  0.2076E+03,  0.1070E+01
            9,  0.9000E-02,  0.8642E+04,  0.6469E+03,  0.1111E+05,  0.1785E+04, -0.1577E+04,  0.2080E+03,  0.1070E+01
           10,  0.1000E-01,  0.8642E+04,  0.7280E+03,  0.3656E+05,  0.2009E+04, -0.1830E+04,  0.1787E+03,  0.1070E+01
           11,  0.1100E-01,  0.8643E+04,  0.7601E+03,  0.4363E+05,  0.2097E+04, -0.1931E+04,  0.1663E+03,  0.1069E+01
           12,  0.1200E-01,  0.8646E+04,  0.6902E+03,  0.2775E+05,  0.1904E+04, -0.1711E+04,  0.1931E+03,  0.1069E+01
           13,  0.1300E-01,  0.8649E+04,  0.6324E+03, -0.1147E+04,  0.1745E+04, -0.1525E+04,  0.2196E+03,  0.1069E+01
           14,  0.1400E-01,  0.8653E+04,  0.6827E+03, -0.2747E+05,  0.1884E+04, -0.1676E+04,  0.2071E+03,  0.1068E+01
           15,  0.1500E-01,  0.8656E+04,  0.7593E+03, -0.4088E+05,  0.2095E+04, -0.1913E+04,  0.1818E+03,  0.1068E+01
           16,  0.1600E-01,  0.8658E+04,  0.7379E+03, -0.3804E+05,  0.2036E+04, -0.1847E+04,  0.1890E+03,  0.1068E+01
           17,  0.1700E-01,  0.8659E+04,  0.6543E+03, -0.1952E+05,  0.1805E+04, -0.1588E+04,  0.2176E+03,  0.1068E+01
           18,  0.1800E-01,  0.8658E+04,  0.6441E+03,  0.9257E+04,  0.1777E+04, -0.1556E+04,  0.2211E+03,  0.1068E+01
           19,  0.1900E-01,  0.8658E+04,  0.7231E+03,  0.3529E+05,  0.1995E+04, -0.1802E+04,  0.1926E+03,  0.1068E+01
           20,  0.2000E-01,  0.8658E+04,  0.7624E+03,  0.4359E+05,  0.2104E+04, -0.1926E+04,  0.1774E+03,  0.1068E+01
           21,  0.2100E-01,  0.8660E+04,  0.6975E+03,  0.2878E+05,  0.1925E+04, -0.1722E+04,  0.2020E+03,  0.1067E+01
           22,  0.2200E-01,  0.8664E+04,  0.6352E+03,  0.1510E+03,  0.1753E+04, -0.1523E+04,  0.2296E+03,  0.1067E+01
           23,  0.2300E-01,  0.8667E+04,  0.6791E+03, -0.2671E+05,  0.1874E+04, -0.1654E+04,  0.2193E+03,  0.1067E+01
           24,  0.2400E-01,  0.8670E+04,  0.7575E+03, -0.4091E+05,  0.2090E+04, -0.1897E+04,  0.1930E+03,  0.1066E+01
           25,  0.2500E-01,  0.8672E+04,  0.7421E+03, -0.3890E+05,  0.2047E+04, -0.1850E+04,  0.1977E+03,  0.1066E+01
           26,  0.2600E-01,  0.8672E+04,  0.6582E+03, -0.2107E+05,  0.1816E+04, -0.1589E+04,  0.2266E+03,  0.1066E+01
           27,  0.2700E-01,  0.8671E+04,  0.6422E+03,  0.7480E+04,  0.1772E+04, -0.1539E+04,  0.2328E+03,  0.1066E+01
           28,  0.2800E-01,  0.8670E+04,  0.7200E+03,  0.3412E+05,  0.1986E+04, -0.1781E+04,  0.2052E+03,  0.1066E+01
           29,  0.2900E-01,  0.8670E+04,  0.7657E+03,  0.4364E+05,  0.2113E+04, -0.1925E+04,  0.1876E+03,  0.1066E+01
           30,  0.3000E-01,  0.8672E+04,  0.7048E+03,  0.2991E+05,  0.1944E+04, -0.1735E+04,  0.2097E+03,  0.1066E+01
           31,  0.3100E-01,  0.8675E+04,  0.6366E+03,  0.1523E+04,  0.1756E+04, -0.1518E+04,  0.2383E+03,  0.1066E+01
